timestamp,category,app_id,game_name,ccu
2026-02-09T14:14:40.340838+00:00,control,105600,Terraria,136057
2026-02-09T14:14:40.340838+00:00,control,1145360,Hades,3717
2026-02-09T14:14:40.340838+00:00,control,1086940,Baldur's Gate 3,44985
2026-02-09T14:14:40.340838+00:00,new_releases_hype,1808500,ARC Raiders,119802
2026-02-09T14:14:40.340838+00:00,new_releases_hype,2767030,Marvel Rivals,47555
2026-02-09T15:29:20.469969+00:00,giants,730,CS2,1357211
2026-02-09T15:29:20.469969+00:00,giants,570,Dota 2,757448
2026-02-09T15:29:20.469969+00:00,giants,578080,PUBG,505663
2026-02-09T15:29:20.469969+00:00,giants,1172470,Apex Legends,121232
2026-02-09T15:29:20.469969+00:00,giants,271590,GTA V,103997
2026-02-09T15:29:20.469969+00:00,live_service,1085660,Destiny 2,8919
2026-02-09T15:29:20.469969+00:00,live_service,252490,Rust,167685
2026-02-09T15:29:20.469969+00:00,live_service,230410,Warframe,67629
2026-02-09T15:29:20.469969+00:00,live_service,1599340,Lost Ark,8643
2026-02-09T15:29:20.469969+00:00,war_politics_adjacent,1938090,Call of Duty HQ,37150
2026-02-09T15:29:20.469969+00:00,war_politics_adjacent,393380,Squad,13050
2026-02-09T15:29:20.469969+00:00,war_politics_adjacent,107410,Arma 3,7553
2026-02-09T15:29:20.469969+00:00,war_politics_adjacent,394360,Hearts of Iron IV,43204
2026-02-09T15:29:20.469969+00:00,control,413150,Stardew Valley,86428
2026-02-09T15:29:20.469969+00:00,control,105600,Terraria,135441
2026-02-09T15:29:20.469969+00:00,control,1145360,Hades,3671
2026-02-09T15:29:20.469969+00:00,control,1086940,Baldur's Gate 3,48452
2026-02-09T15:29:20.469969+00:00,new_releases_hype,1808500,ARC Raiders,137745
2026-02-09T15:29:20.469969+00:00,new_releases_hype,2767030,Marvel Rivals,52584
2026-02-09T16:32:26.013215+00:00,giants,730,CS2,1365922
2026-02-09T16:32:26.013215+00:00,giants,570,Dota 2,748669
2026-02-09T16:32:26.013215+00:00,giants,578080,PUBG,371446
2026-02-09T16:32:26.013215+00:00,giants,1172470,Apex Legends,87661
2026-02-09T16:32:26.013215+00:00,giants,271590,GTA V,104499
2026-02-09T16:32:26.013215+00:00,live_service,1085660,Destiny 2,9158
